,phrase,label,sentiment,subjectivity,language,count
Brexit,Brexit,ORG,0.10966666666666666,0.06500000000000002,fr,4
CIA,CIA,ORG,-0.006,0.009999999999999998,fr,4
France 2,France 2,ORG,0.3,0.1,fr,4
ministre de la Justice,ministre de la Justice,ORG,0.2461666666666667,0.28250000000000003,fr,4
université Harvard,université Harvard,ORG,0.07093749999999999,0.128125,fr,4
NBC,NBC,ORG,0.06208333333333334,0.125,fr,4
ministre de la Défense,ministre de la Défense,ORG,-0.06242857142857143,0.058750000000000004,fr,4
ministre du Travail Jean,ministre du Travail Jean,ORG,0.06973214285714285,0.060714285714285714,fr,4
ministre du Travail,ministre du Travail,ORG,0.07598214285714286,0.029464285714285714,fr,4
Fondation Brigitte Bardot,Fondation Brigitte Bardot,ORG,0.11217857142857142,0.11935714285714288,fr,4
HBO,HBO,ORG,0.05,0.0,fr,4
RDC,RDC,ORG,-0.024794642857142862,0.1713839285714286,fr,4
Fifa,Fifa,ORG,0.22283333333333333,0.200625,fr,4
PLD,PLD,ORG,0.1834989316239316,0.08611111111111111,fr,4
ENTRETIEN,ENTRETIEN,ORG,0.14108333333333334,0.09968750000000001,fr,4
THIBAUD,THIBAUD,ORG,0.08555555555555555,0.1125,fr,4
IFI,IFI,ORG,0.05444940476190477,0.13117559523809524,fr,4
Frères musulmans,Frères musulmans,ORG,0.054047619047619046,0.10952380952380952,fr,4
Radiohead,Radiohead,ORG,0.25375000000000003,0.18729166666666666,fr,4
Etat américain,Etat américain,ORG,0.06945436507936507,0.15615079365079365,fr,4
RTL,RTL,ORG,0.073375,0.01375,fr,4
Ve République,Ve République,ORG,0.1340625,0.13342857142857142,fr,4
"AFP
","AFP
",ORG,0.0683838383838384,0.09545454545454546,fr,3
Monde,Monde,ORG,0.17000000000000004,0.12380952380952381,fr,3
Parti libéral-démocrate,Parti libéral-démocrate,ORG,0.14883190883190886,0.06666666666666667,fr,3
Ensemble pour la République,Ensemble pour la République,ORG,0.15428571428571428,0.09916666666666667,fr,3
