,phrase,label,sentiment,subjectivity,language,count
Donald Trump limoge,Donald Trump limoge,MISC,,,fr,3
Elabe,Elabe,MISC,,,fr,3
DIRECT Guerre,DIRECT Guerre,MISC,,,fr,3
guerre au Moyen-Orient,guerre au Moyen-Orient,MISC,,,fr,3
Ici Vaucluse,Ici Vaucluse,MISC,,,fr,3
LOEB,LOEB,MISC,,,fr,3
4V,4V,MISC,,,fr,3
so,so,MISC,,,fr,3
Ayala,Ayala,MISC,,,fr,3
Messieurs,Messieurs,MISC,,,fr,3
Challenges,Challenges,MISC,,,fr,3
Epstein files,Epstein files,MISC,0.31666666666666665,0.13333333333333333,fr,3
lEurope,lEurope,MISC,,,fr,3
Messieurs les députés,Messieurs les députés,MISC,,,fr,3
Monsieur Trump,Monsieur Trump,MISC,,,fr,2
The Wall Street Journal,The Wall Street Journal,MISC,,,fr,2
Ma vie,Ma vie,MISC,,,fr,2
LIOT,LIOT,MISC,,,fr,2
dAmélie,dAmélie,MISC,,,fr,2
ex,ex,MISC,,,fr,2
lIMA,lIMA,MISC,,,fr,2
Telex,Telex,MISC,,,fr,2
Le Progrès,Le Progrès,MISC,,,fr,2
Premier ministre en Hongrie,Premier ministre en Hongrie,MISC,,,fr,2
Maison-,Maison-,MISC,,,fr,2
Premier min,Premier min,MISC,,,fr,2
Mac,Mac,MISC,,,fr,2
iPhone,iPhone,MISC,,,fr,2
Le Premier ministre espagnol,Le Premier ministre espagnol,MISC,,,fr,2
Chabad,Chabad,MISC,,,fr,2
Congrès américain 152,Congrès américain 152,MISC,,,fr,2
"SIPA
Commenter
 ","SIPA
Commenter
 ",MISC,,,fr,2
Russes,Russes,MISC,0.09142857142857144,0.36,fr,2
guerre du Golfe,guerre du Golfe,MISC,,,fr,2
lAction,lAction,MISC,,,fr,2
Vingt-sept,Vingt-sept,MISC,,,fr,2
Horizons et Renaissance,Horizons et Renaissance,MISC,,,fr,2
Le Progrès »,Le Progrès »,MISC,,,fr,2
Mesdames et Messieurs,Mesdames et Messieurs,MISC,,,fr,2
Agés,Agés,MISC,0.18200000000000002,0.5900000000000001,fr,2
Première ministre italienne,Première ministre italienne,MISC,,,fr,2
La Première ministre italienne,La Première ministre italienne,MISC,,,fr,2
Trump ,Trump ,MISC,-0.023238095238095224,0.44666666666666666,fr,2
Douane française ,Douane française ,MISC,,,fr,2
Conférence de Munich,Conférence de Munich,MISC,,,fr,2
Co,Co,MISC,,,fr,2
Premier ministre de Hongrie,Premier ministre de Hongrie,MISC,,,fr,2
Frontières »,Frontières »,MISC,,,fr,2
Hongrie ,Hongrie ,MISC,,,fr,2
