keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'Peter Tschentscher',fr,Deutschland,#1818e8,#1818e8,1,0.276899822928
'Rosalynn Carter',fr,USA,#18e8e8,#18e8e8,1,0.276749523680
'Lindsey Graham',fr,USA,#18e8e8,#18e8e8,1,0.276376052281
'Zach Bryan',fr,unknown,#111111,#111111,1,0.276368900776
'Queen Camilla',fr,UK,#e838e8,#e838e8,1,0.276335058923
'Imran Khan',fr,unknown,#111111,#111111,1,0.275806097635
'Mario Czaja',fr,Deutschland,#1818e8,#1818e8,1,0.275591892552
'Ahmed Al Jaber',fr,unknown,#111111,#111111,1,0.274514141915
'Noor Alfallah',fr,USA,#18e8e8,#18e8e8,1,0.273961831607
'James Cleverly',fr,UK,#e838e8,#e838e8,1,0.272953190844
'Leonard Bernstein',fr,unknown,#111111,#111111,1,0.272529092384
'Caroline Ellison',fr,USA,#18e8e8,#18e8e8,1,0.272234787766
'Laura Ingraham',fr,USA,#18e8e8,#18e8e8,1,0.271685360167
'Warren Buffet',fr,USA,#18e8e8,#18e8e8,1,0.271396869202
'Johnny Depp',fr,USA,#18e8e8,#18e8e8,1,0.271384606797
'Rudy Giuliani',fr,USA,#18e8e8,#18e8e8,1,0.270720323991
'Brian Kilmeade',fr,unknown,#111111,#111111,1,0.269914372303
'Jan Böhmermann',fr,Deutschland,#1818e8,#1818e8,3,0.269670745153
'Roman Pacino',fr,unknown,#111111,#111111,1,0.268558727650
'Jerod Mayo',fr,unknown,#111111,#111111,1,0.268411279183
'Rudolf Steiner',fr,Oesterreich,#5522dd,#5522dd,1,0.267891876517
'Viktor Shokin',fr,unknown,#111111,#111111,1,0.267479449704
'John Rawls',fr,USA,#18e8e8,#18e8e8,1,0.267467446285
'Leandro De Niro Rodriguez',fr,USA,#18e8e8,#18e8e8,1,0.267046152009
'Patricia Blanco',fr,Deutschland,#1818e8,#1818e8,1,0.267046142879
'Bill Barr',fr,unknown,#111111,#111111,1,0.266335087665
'Merrill McCollum',fr,USA,#18e8e8,#18e8e8,1,0.266223187500
'Teresa Giudice',fr,unknown,#111111,#111111,1,0.266204915350
'Bridget Moynahan',fr,unknown,#111111,#111111,1,0.266106400056
'Andrew Schulz',fr,USA,#18e8e8,#18e8e8,1,0.265428109377
'Anthony Fauci',fr,USA,#18e8e8,#18e8e8,2,0.265362167491
'Joy Behar',fr,unknown,#111111,#111111,1,0.264790877157
'Joaquim Valente',fr,unknown,#111111,#111111,1,0.264779010306
'Rand Paul',fr,unknown,#111111,#111111,1,0.264771545293
'Jake Tapper',fr,unknown,#111111,#111111,1,0.264674070676
'Giorgio Napolitano',fr,unknown,#111111,#111111,1,0.264611970440
'Mark Kerr',fr,unknown,#111111,#111111,1,0.264296007079
'Robert Kraft',fr,unknown,#111111,#111111,1,0.264103068585
'Benjamin Hasselhorn',fr,unknown,#111111,#111111,1,0.264004660938
'Brittany Mahomes',fr,unknown,#111111,#111111,1,0.263625796050
'Jake Gyllenhaal',fr,unknown,#111111,#111111,1,0.263487442016
'Kim Jong-un',fr,NordKorea,#e85858,#e85858,3,0.263338643521
'Aleksandar Vučić',fr,Serbien,#8844cc,#8844cc,2,0.263133522331
'Tom Hanks',fr,unknown,#111111,#111111,1,0.262340707580
'Jason Whitlock',fr,unknown,#111111,#111111,1,0.261952567552
'Nikki Glaser',fr,unknown,#111111,#111111,1,0.261854242355
'Edward Snowden',fr,USA,#18e8e8,#18e8e8,2,0.261288725915
'Shahzada Dawood',fr,Pakistan,#bb33ff,#bb33ff,1,0.261186821097
'Patti LaBelle',fr,USA,#18e8e8,#18e8e8,1,0.261111510838
'Oisin Fanning',fr,Irland,#4488cc,#4488cc,1,0.261003125000
'Malu Dreyer',fr,Deutschland,#1818e8,#1818e8,1,0.261003125000
'Jan Lipavský',fr,Tschechien,#44cc88,#44cc88,1,0.261003125000
'Jacques Doriot',fr,unknown,#111111,#111111,1,0.260549789354
'Prinzessin Kate',fr,UK,#e838e8,#e838e8,1,0.260133313674
'Oleksandr Usyk',fr,unknown,#111111,#111111,1,0.260092471230
'Noam Chomsky',fr,USA,#18e8e8,#18e8e8,1,0.259804559638
'Bettina Stark-Watzinger',fr,Deutschland,#1818e8,#1818e8,1,0.259702748737
'Michelle Williams',fr,unknown,#111111,#111111,1,0.259560503683
'Lauren Sánchez',fr,USA,#18e8e8,#18e8e8,1,0.259436319193
'George Floyd',fr,USA,#18e8e8,#18e8e8,1,0.259097204784
'Lily Gladstone',fr,unknown,#111111,#111111,1,0.258413900071
'Jennifer Morgan',fr,unknown,#111111,#111111,1,0.258242564707
'Ivanka Trump',fr,unknown,#111111,#111111,1,0.257486638313
'Joey Fatone',fr,unknown,#111111,#111111,1,0.257431835468
'Alvin Bragg',fr,USA,#18e8e8,#18e8e8,1,0.256935814183
